goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
BenchmarkLoad/env_small/cold/ferry-6         	  171320	      7769 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  162951	      7203 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  157460	      7676 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  163773	      7427 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  166326	      7884 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  168078	      7652 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  155821	      8750 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  148761	      7579 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  151561	      7391 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/cold/ferry-6         	  157470	      7812 ns/op	    5784 B/op	      95 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  407574	      3049 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  350265	      2859 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  379455	      2666 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  458803	      2875 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  406670	      3106 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  372674	      2759 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  444549	      2796 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  419790	      2689 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  423195	      2794 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/warm/ferry-6         	  399091	      2726 ns/op	    2960 B/op	      41 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   96613	     12662 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   88270	     12847 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   94816	     14433 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   94552	     12839 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   94046	     12866 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   88929	     12908 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   94250	     12913 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   87936	     12722 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   93216	     12753 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/cold/koanf-6         	   89712	     14986 ns/op	    8632 B/op	     172 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   87442	     12777 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   90514	     13041 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   92215	     13123 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   89421	     13100 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   92808	     12981 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   95085	     13309 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   87390	     14917 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   94896	     12341 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   89832	     12612 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/warm/koanf-6         	   97188	     13085 ns/op	    8616 B/op	     171 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  145950	      8376 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  149544	      8084 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  139934	      8419 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  143494	      9056 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  121642	      8464 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  146227	      8536 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  145101	      8340 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  136413	      8551 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  144648	      8353 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/cold/viper-6         	  150282	      8291 ns/op	    5352 B/op	      89 allocs/op
BenchmarkLoad/env_small/warm/viper-6         	  163639	      7376 ns/op	    3696 B/op	      67 allocs/op
BenchmarkLoad/env_small/warm/viper-6         	  176517	      8017 ns/op	    3696 B/op	      67 allocs/op
BenchmarkLoad/env_small/warm/viper-6         	  165963	      6949 ns/op	    3696 B/op	      67 allocs/op
