goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: INTEL(R) XEON(R) PLATINUM 8573C
                                      │   rerun.txt   │
                                      │    sec/op     │
Load/env_small/cold/ferry-4             6.369µ ±   2%
Load/env_small/warm/ferry-4             2.288µ ±   2%
Load/env_small/cold/koanf-4             11.10µ ±   0%
Load/env_small/warm/koanf-4             11.06µ ±   0%
Load/env_small/cold/viper-4             7.261µ ±   0%
Load/env_small/warm/viper-4             6.086µ ±   1%
Load/env_small/cold/xload-4             1.427µ ±   0%
Load/env_small/warm/xload-4             1.411µ ±   0%
Load/env_small/cold/go-envconfig-4      528.8n ±   0%
Load/env_small/warm/go-envconfig-4      508.3n ±   1%
Load/env_small/cold/kelseyhightower-4   2.586µ ±   0%
Load/env_small/warm/kelseyhightower-4   2.569µ ±   0%
Load/env_small/cold/stdlib-4            156.2n ±   1%
Load/env_small/warm/stdlib-4            155.8n ±   1%
Load/env_large/cold/ferry-4             93.13µ ±   0%
Load/env_large/warm/ferry-4             26.81µ ±   0%
Load/env_large/cold/koanf-4             134.8µ ±   1%
Load/env_large/warm/koanf-4             135.0µ ±   0%
Load/env_large/cold/viper-4             85.32µ ±   0%
Load/env_large/warm/viper-4             75.51µ ±   1%
Load/env_large/cold/xload-4             21.45µ ±   1%
Load/env_large/warm/xload-4             21.44µ ±   0%
Load/env_large/cold/go-envconfig-4      9.187µ ±   0%
Load/env_large/warm/go-envconfig-4      9.142µ ±   0%
Load/env_large/cold/kelseyhightower-4   43.51µ ±   0%
Load/env_large/warm/kelseyhightower-4   43.37µ ±   0%
Load/env_large/cold/stdlib-4            1.862µ ±   0%
Load/env_large/warm/stdlib-4            1.858µ ±   1%
Load/yaml_small/cold/ferry-4            17.30µ ±   0%
Load/yaml_small/warm/ferry-4            13.05µ ±   0%
Load/yaml_small/cold/koanf-4            24.19µ ±   0%
Load/yaml_small/warm/koanf-4            24.19µ ±   1%
Load/yaml_small/cold/viper-4            21.28µ ±   1%
Load/yaml_small/warm/viper-4            20.81µ ±   0%
Load/yaml_small/cold/xload-4            15.55µ ±   0%
Load/yaml_small/warm/xload-4            1.596µ ±   0%
Load/yaml_small/cold/stdlib-4           12.96µ ±   1%
Load/yaml_small/warm/stdlib-4           12.88µ ±   0%
Load/yaml_large/cold/ferry-4            156.7µ ±   1%
Load/yaml_large/warm/ferry-4            86.74µ ±   1%
Load/yaml_large/cold/koanf-4            215.1µ ±   1%
Load/yaml_large/warm/koanf-4            214.7µ ±   0%
Load/yaml_large/cold/viper-4            181.0µ ±   1%
Load/yaml_large/warm/viper-4            180.3µ ±   1%
Load/yaml_large/cold/stdlib-4           85.95µ ±   1%
Load/yaml_large/warm/stdlib-4           85.69µ ±   0%
Load/dump_large/cold/ferry-4            940.7µ ±  62%
Load/dump_large/warm/ferry-4            397.9µ ± 108%
Load/dump_large/cold/koanf-4            574.3µ ±  66%
Load/dump_large/warm/koanf-4            443.9µ ±  71%
Load/dump_large/cold/viper-4            2.483m ±  37%
Load/dump_large/warm/viper-4            1.640m ±  51%
Load/dump_large/cold/stdlib-4           539.6µ ±  77%
Load/dump_large/warm/stdlib-4           285.7µ ±  31%
StructTagCost/pooled-4                  67.11n ±   1%
StructTagCost/per_library-4             184.3n ±   1%
geomean                                 20.23µ

                                      │   rerun.txt    │
                                      │      B/op      │
Load/env_small/cold/ferry-4             5.352Ki ± 0%
Load/env_small/warm/ferry-4             2.594Ki ± 0%
Load/env_small/cold/koanf-4             8.430Ki ± 0%
Load/env_small/warm/koanf-4             8.414Ki ± 0%
Load/env_small/cold/viper-4             5.227Ki ± 0%
Load/env_small/warm/viper-4             3.609Ki ± 0%
Load/env_small/cold/xload-4               952.0 ± 0%
Load/env_small/warm/xload-4               936.0 ± 0%
Load/env_small/cold/go-envconfig-4        16.00 ± 0%
Load/env_small/warm/go-envconfig-4        0.000 ± 0%
Load/env_small/cold/kelseyhightower-4   1.227Ki ± 0%
Load/env_small/warm/kelseyhightower-4   1.211Ki ± 0%
Load/env_small/cold/stdlib-4              0.000 ± 0%
Load/env_small/warm/stdlib-4              0.000 ± 0%
Load/env_large/cold/ferry-4             50.79Ki ± 0%
Load/env_large/warm/ferry-4             23.72Ki ± 0%
Load/env_large/cold/koanf-4             94.49Ki ± 0%
Load/env_large/warm/koanf-4             94.48Ki ± 0%
Load/env_large/cold/viper-4             56.52Ki ± 0%
Load/env_large/warm/viper-4             47.77Ki ± 0%
Load/env_large/cold/xload-4             12.89Ki ± 0%
Load/env_large/warm/xload-4             12.88Ki ± 0%
Load/env_large/cold/go-envconfig-4      1.375Ki ± 0%
Load/env_large/warm/go-envconfig-4      1.359Ki ± 0%
Load/env_large/cold/kelseyhightower-4   31.18Ki ± 0%
Load/env_large/warm/kelseyhightower-4   31.16Ki ± 0%
Load/env_large/cold/stdlib-4             1008.0 ± 0%
Load/env_large/warm/stdlib-4             1008.0 ± 0%
Load/yaml_small/cold/ferry-4            13.60Ki ± 0%
Load/yaml_small/warm/ferry-4            10.81Ki ± 0%
Load/yaml_small/cold/koanf-4            17.41Ki ± 0%
Load/yaml_small/warm/koanf-4            17.38Ki ± 0%
Load/yaml_small/cold/viper-4            16.32Ki ± 0%
Load/yaml_small/warm/viper-4            15.48Ki ± 0%
Load/yaml_small/cold/xload-4            11.44Ki ± 0%
Load/yaml_small/warm/xload-4             1000.0 ± 0%
Load/yaml_small/cold/stdlib-4           9.854Ki ± 0%
Load/yaml_small/warm/stdlib-4           9.822Ki ± 0%
Load/yaml_large/cold/ferry-4            73.12Ki ± 0%
Load/yaml_large/warm/ferry-4            46.03Ki ± 0%
Load/yaml_large/cold/koanf-4            122.3Ki ± 0%
Load/yaml_large/warm/koanf-4            122.3Ki ± 0%
Load/yaml_large/cold/viper-4            96.68Ki ± 0%
Load/yaml_large/warm/viper-4            95.85Ki ± 0%
Load/yaml_large/cold/stdlib-4           39.73Ki ± 0%
Load/yaml_large/warm/stdlib-4           39.70Ki ± 0%
Load/dump_large/cold/ferry-4            207.0Ki ± 0%
Load/dump_large/warm/ferry-4            177.9Ki ± 0%
Load/dump_large/cold/koanf-4            195.2Ki ± 0%
Load/dump_large/warm/koanf-4            193.0Ki ± 0%
Load/dump_large/cold/viper-4            166.7Ki ± 0%
Load/dump_large/warm/viper-4            164.5Ki ± 0%
Load/dump_large/cold/stdlib-4           125.3Ki ± 0%
Load/dump_large/warm/stdlib-4           123.1Ki ± 0%
StructTagCost/pooled-4                    0.000 ± 0%
StructTagCost/per_library-4               0.000 ± 0%
geomean                                              ¹
¹ summaries must be >0 to compute geomean

                                      │   rerun.txt   │
                                      │   allocs/op   │
Load/env_small/cold/ferry-4              90.00 ± 0%
Load/env_small/warm/ferry-4              36.00 ± 0%
Load/env_small/cold/koanf-4              172.0 ± 0%
Load/env_small/warm/koanf-4              171.0 ± 0%
Load/env_small/cold/viper-4              89.00 ± 0%
Load/env_small/warm/viper-4              67.00 ± 0%
Load/env_small/cold/xload-4              18.00 ± 0%
Load/env_small/warm/xload-4              17.00 ± 0%
Load/env_small/cold/go-envconfig-4       1.000 ± 0%
Load/env_small/warm/go-envconfig-4       0.000 ± 0%
Load/env_small/cold/kelseyhightower-4    57.00 ± 0%
Load/env_small/warm/kelseyhightower-4    56.00 ± 0%
Load/env_small/cold/stdlib-4             0.000 ± 0%
Load/env_small/warm/stdlib-4             0.000 ± 0%
Load/env_large/cold/ferry-4              660.0 ± 0%
