goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: INTEL(R) XEON(R) PLATINUM 8573C
,/tmp/claude-1000/-home-ap-workspace-onhotpath-ferry/940ec081-8769-4369-a2c4-15e4603aa682/scratchpad/precheck/bench.txt,
,sec/op,CI
Load/env_small/cold/ferry-4,6.369e-06,2%
Load/env_small/warm/ferry-4,2.2875e-06,2%
Load/env_small/cold/koanf-4,1.1104500000000002e-05,0%
Load/env_small/warm/koanf-4,1.10635e-05,0%
Load/env_small/cold/viper-4,7.2610000000000004e-06,0%
Load/env_small/warm/viper-4,6.0855000000000004e-06,1%
Load/env_small/cold/xload-4,1.427e-06,0%
Load/env_small/warm/xload-4,1.4110000000000001e-06,0%
Load/env_small/cold/go-envconfig-4,5.2875e-07,0%
Load/env_small/warm/go-envconfig-4,5.0835e-07,1%
Load/env_small/cold/kelseyhightower-4,2.5855e-06,0%
Load/env_small/warm/kelseyhightower-4,2.5685e-06,0%
Load/env_small/cold/stdlib-4,1.5615e-07,1%
Load/env_small/warm/stdlib-4,1.5585e-07,1%
Load/env_large/cold/ferry-4,9.312750000000001e-05,0%
Load/env_large/warm/ferry-4,2.68055e-05,0%
Load/env_large/cold/koanf-4,0.00013482000000000001,1%
Load/env_large/warm/koanf-4,0.0001350245,0%
Load/env_large/cold/viper-4,8.53245e-05,0%
Load/env_large/warm/viper-4,7.55145e-05,1%
Load/env_large/cold/xload-4,2.1447e-05,1%
Load/env_large/warm/xload-4,2.14405e-05,0%
Load/env_large/cold/go-envconfig-4,9.186500000000001e-06,0%
Load/env_large/warm/go-envconfig-4,9.1415e-06,0%
Load/env_large/cold/kelseyhightower-4,4.3511000000000004e-05,0%
Load/env_large/warm/kelseyhightower-4,4.33665e-05,0%
Load/env_large/cold/stdlib-4,1.8620000000000001e-06,0%
Load/env_large/warm/stdlib-4,1.858e-06,1%
Load/yaml_small/cold/ferry-4,1.72995e-05,0%
Load/yaml_small/warm/ferry-4,1.30525e-05,0%
Load/yaml_small/cold/koanf-4,2.4193e-05,0%
Load/yaml_small/warm/koanf-4,2.41855e-05,1%
Load/yaml_small/cold/viper-4,2.1284500000000003e-05,1%
Load/yaml_small/warm/viper-4,2.0812500000000004e-05,0%
Load/yaml_small/cold/xload-4,1.55535e-05,0%
Load/yaml_small/warm/xload-4,1.5955000000000002e-06,0%
Load/yaml_small/cold/stdlib-4,1.2959e-05,1%
Load/yaml_small/warm/stdlib-4,1.2884e-05,0%
Load/yaml_large/cold/ferry-4,0.000156727,1%
Load/yaml_large/warm/ferry-4,8.674e-05,1%
Load/yaml_large/cold/koanf-4,0.00021506000000000002,1%
Load/yaml_large/warm/koanf-4,0.0002147325,0%
Load/yaml_large/cold/viper-4,0.00018104900000000002,1%
Load/yaml_large/warm/viper-4,0.0001802545,1%
Load/yaml_large/cold/stdlib-4,8.59475e-05,1%
Load/yaml_large/warm/stdlib-4,8.56875e-05,0%
Load/dump_large/cold/ferry-4,0.0009407475,62%
Load/dump_large/warm/ferry-4,0.00039795,108%
Load/dump_large/cold/koanf-4,0.0005742830000000001,66%
Load/dump_large/warm/koanf-4,0.00044394500000000006,71%
Load/dump_large/cold/viper-4,0.0024827795000000002,37%
Load/dump_large/warm/viper-4,0.001640416,51%
Load/dump_large/cold/stdlib-4,0.0005395965,77%
Load/dump_large/warm/stdlib-4,0.0002857035,31%
StructTagCost/pooled-4,6.711000000000001e-08,1%
StructTagCost/per_library-4,1.8430000000000003e-07,1%
geomean,2.0234668320453713e-05,

,/tmp/claude-1000/-home-ap-workspace-onhotpath-ferry/940ec081-8769-4369-a2c4-15e4603aa682/scratchpad/precheck/bench.txt,
,B/op,CI
Load/env_small/cold/ferry-4,5480,0%
Load/env_small/warm/ferry-4,2656,0%
Load/env_small/cold/koanf-4,8632,0%
Load/env_small/warm/koanf-4,8616,0%
Load/env_small/cold/viper-4,5352,0%
Load/env_small/warm/viper-4,3696,0%
Load/env_small/cold/xload-4,952,0%
Load/env_small/warm/xload-4,936,0%
Load/env_small/cold/go-envconfig-4,16,0%
Load/env_small/warm/go-envconfig-4,0,0%
Load/env_small/cold/kelseyhightower-4,1256,0%
Load/env_small/warm/kelseyhightower-4,1240,0%
Load/env_small/cold/stdlib-4,0,0%
Load/env_small/warm/stdlib-4,0,0%
Load/env_large/cold/ferry-4,52008,0%
Load/env_large/warm/ferry-4,24288,0%
Load/env_large/cold/koanf-4,96762,0%
Load/env_large/warm/koanf-4,96746,0%
Load/env_large/cold/viper-4,57877,0%
Load/env_large/warm/viper-4,48915.5,0%
Load/env_large/cold/xload-4,13200,0%
Load/env_large/warm/xload-4,13184,0%
Load/env_large/cold/go-envconfig-4,1408,0%
Load/env_large/warm/go-envconfig-4,1392,0%
Load/env_large/cold/kelseyhightower-4,31927,0%
Load/env_large/warm/kelseyhightower-4,31911,0%
Load/env_large/cold/stdlib-4,1008,0%
Load/env_large/warm/stdlib-4,1008,0%
Load/yaml_small/cold/ferry-4,13922,0%
Load/yaml_small/warm/ferry-4,11074,0%
Load/yaml_small/cold/koanf-4,17827,0%
Load/yaml_small/warm/koanf-4,17795,0%
Load/yaml_small/cold/viper-4,16707,0%
Load/yaml_small/warm/viper-4,15851,0%
Load/yaml_small/cold/xload-4,11714,0%
Load/yaml_small/warm/xload-4,1000,0%
Load/yaml_small/cold/stdlib-4,10090,0%
Load/yaml_small/warm/stdlib-4,10058,0%
Load/yaml_large/cold/ferry-4,74870,0%
Load/yaml_large/warm/ferry-4,47131,0%
Load/yaml_large/cold/koanf-4,125225,0%
Load/yaml_large/warm/koanf-4,125192.5,0%
Load/yaml_large/cold/viper-4,99003,0%
Load/yaml_large/warm/viper-4,98147,0%
Load/yaml_large/cold/stdlib-4,40688,0%
Load/yaml_large/warm/stdlib-4,40656,0%
Load/dump_large/cold/ferry-4,211993,0%
Load/dump_large/warm/ferry-4,182203,0%
Load/dump_large/cold/koanf-4,199884,0%
Load/dump_large/warm/koanf-4,197651,0%
Load/dump_large/cold/viper-4,170728.5,0%
