goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
,internal/report/testdata/bench.txt,
,sec/op,CI
Load/env_small/cold/ferry-6,7.664e-06,4%
Load/env_small/warm/ferry-6,2.7950000000000003e-06,9%
Load/env_small/cold/koanf-6,1.2856500000000001e-05,12%
Load/env_small/warm/koanf-6,1.3063e-05,3%
Load/env_small/cold/viper-6,8.3975e-06,2%
Load/env_small/warm/viper-6,7.1525e-06,10%
Load/env_small/cold/xload-6,1.5920000000000002e-06,2%
Load/env_small/warm/xload-6,1.5885000000000001e-06,5%
Load/env_small/cold/go-envconfig-6,6.175e-07,2%
Load/env_small/warm/go-envconfig-6,5.8645e-07,3%
Load/env_small/cold/kelseyhightower-6,2.8505e-06,5%
Load/env_small/warm/kelseyhightower-6,2.879e-06,8%
Load/env_small/cold/stdlib-6,1.7600000000000001e-07,4%
Load/env_small/warm/stdlib-6,1.7360000000000002e-07,3%
StructTagCost/pooled-6,7.8985e-08,3%
StructTagCost/per_library-6,2.0375e-07,2%
geomean,1.5184212662450742e-06,

,internal/report/testdata/bench.txt,
,B/op,CI
Load/env_small/cold/ferry-6,5784,0%
Load/env_small/warm/ferry-6,2960,0%
Load/env_small/cold/koanf-6,8632,0%
Load/env_small/warm/koanf-6,8616,0%
Load/env_small/cold/viper-6,5352,0%
Load/env_small/warm/viper-6,3696,0%
Load/env_small/cold/xload-6,952,0%
Load/env_small/warm/xload-6,936,0%
Load/env_small/cold/go-envconfig-6,16,0%
Load/env_small/warm/go-envconfig-6,0,0%
Load/env_small/cold/kelseyhightower-6,1256,0%
Load/env_small/warm/kelseyhightower-6,1240,0%
Load/env_small/cold/stdlib-6,0,0%
Load/env_small/warm/stdlib-6,0,0%
StructTagCost/pooled-6,0,0%
StructTagCost/per_library-6,0,0%
geomean,,

,internal/report/testdata/bench.txt,
,allocs/op,CI
Load/env_small/cold/ferry-6,95,0%
Load/env_small/warm/ferry-6,41,0%
Load/env_small/cold/koanf-6,172,0%
Load/env_small/warm/koanf-6,171,0%
Load/env_small/cold/viper-6,89,0%
Load/env_small/warm/viper-6,67,0%
Load/env_small/cold/xload-6,18,0%
Load/env_small/warm/xload-6,17,0%
Load/env_small/cold/go-envconfig-6,1,0%
Load/env_small/warm/go-envconfig-6,0,0%
Load/env_small/cold/kelseyhightower-6,57,0%
Load/env_small/warm/kelseyhightower-6,56,0%
Load/env_small/cold/stdlib-6,0,0%
Load/env_small/warm/stdlib-6,0,0%
StructTagCost/pooled-6,0,0%
StructTagCost/per_library-6,0,0%
geomean,,
