goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
                                      │ /home/ap/.claude/jobs/1f5f0c48/tmp/rerun2/clean.txt │
                                      │                       sec/op                        │
Load/env_small/cold/ferry-6                                                    7.683µ ±  4%
Load/env_small/warm/ferry-6                                                    2.752µ ±  4%
Load/env_small/cold/koanf-6                                                    12.44µ ±  7%
Load/env_small/warm/koanf-6                                                    12.47µ ±  3%
Load/env_small/cold/viper-6                                                    8.116µ ±  3%
Load/env_small/warm/viper-6                                                    6.765µ ±  2%
Load/env_small/cold/xload-6                                                    1.552µ ±  2%
Load/env_small/warm/xload-6                                                    1.549µ ±  5%
Load/env_small/cold/go-envconfig-6                                             596.5n ±  4%
Load/env_small/warm/go-envconfig-6                                             570.4n ±  4%
Load/env_small/cold/kelseyhightower-6                                          2.724µ ±  3%
Load/env_small/warm/kelseyhightower-6                                          2.729µ ±  7%
Load/env_small/cold/stdlib-6                                                   166.1n ±  1%
Load/env_small/warm/stdlib-6                                                   165.8n ± 15%
Load/env_large/cold/ferry-6                                                    108.2µ ±  4%
Load/env_large/warm/ferry-6                                                    33.54µ ±  3%
Load/env_large/cold/koanf-6                                                    146.0µ ±  1%
Load/env_large/warm/koanf-6                                                    150.9µ ±  4%
Load/env_large/cold/viper-6                                                    93.89µ ±  3%
Load/env_large/warm/viper-6                                                    82.43µ ±  2%
Load/env_large/cold/xload-6                                                    23.63µ ±  6%
Load/env_large/warm/xload-6                                                    23.85µ ±  6%
Load/env_large/cold/go-envconfig-6                                             10.31µ ±  1%
Load/env_large/warm/go-envconfig-6                                             10.25µ ±  3%
Load/env_large/cold/kelseyhightower-6                                          47.17µ ±  2%
Load/env_large/warm/kelseyhightower-6                                          48.14µ ±  3%
Load/env_large/cold/stdlib-6                                                   2.139µ ±  4%
Load/env_large/warm/stdlib-6                                                   2.153µ ±  3%
Load/yaml_small/cold/ferry-6                                                   22.07µ ±  5%
Load/yaml_small/warm/ferry-6                                                   17.35µ ±  3%
Load/yaml_small/cold/koanf-6                                                   29.97µ ±  4%
Load/yaml_small/warm/koanf-6                                                   30.14µ ±  3%
Load/yaml_small/cold/viper-6                                                   26.36µ ±  3%
Load/yaml_small/warm/viper-6                                                   26.59µ ± 14%
Load/yaml_small/cold/xload-6                                                   19.51µ ±  3%
Load/yaml_small/warm/xload-6                                                   1.735µ ±  2%
Load/yaml_small/cold/stdlib-6                                                  16.62µ ±  4%
Load/yaml_small/warm/stdlib-6                                                  16.56µ ± 11%
Load/yaml_large/cold/ferry-6                                                   182.3µ ±  2%
Load/yaml_large/warm/ferry-6                                                   102.2µ ±  2%
Load/yaml_large/cold/koanf-6                                                   241.7µ ±  3%
Load/yaml_large/warm/koanf-6                                                   238.3µ ±  2%
Load/yaml_large/cold/viper-6                                                   203.8µ ±  5%
Load/yaml_large/warm/viper-6                                                   202.3µ ±  2%
Load/yaml_large/cold/stdlib-6                                                  99.42µ ±  7%
Load/yaml_large/warm/stdlib-6                                                  98.16µ ±  3%
Load/dump_large/cold/ferry-6                                                   4.185m ± 44%
Load/dump_large/warm/ferry-6                                                   2.354m ±  2%
Load/dump_large/cold/koanf-6                                                   374.1µ ±  5%
Load/dump_large/warm/koanf-6                                                   352.5µ ±  3%
Load/dump_large/cold/viper-6                                                   2.140m ±  1%
Load/dump_large/warm/viper-6                                                   2.295m ±  2%
Load/dump_large/cold/stdlib-6                                                  240.1µ ±  4%
Load/dump_large/warm/stdlib-6                                                  212.4µ ±  3%
StructTagCost/pooled-6                                                         76.14n ±  3%
StructTagCost/per_library-6                                                    201.6n ± 15%
geomean                                                                        23.47µ

                                      │ /home/ap/.claude/jobs/1f5f0c48/tmp/rerun2/clean.txt │
                                      │                        B/op                         │
Load/env_small/cold/ferry-6                                                  5.648Ki ± 0%
Load/env_small/warm/ferry-6                                                  2.891Ki ± 0%
Load/env_small/cold/koanf-6                                                  8.430Ki ± 0%
Load/env_small/warm/koanf-6                                                  8.414Ki ± 0%
Load/env_small/cold/viper-6                                                  5.227Ki ± 0%
Load/env_small/warm/viper-6                                                  3.609Ki ± 0%
Load/env_small/cold/xload-6                                                    952.0 ± 0%
Load/env_small/warm/xload-6                                                    936.0 ± 0%
Load/env_small/cold/go-envconfig-6                                             16.00 ± 0%
Load/env_small/warm/go-envconfig-6                                             0.000 ± 0%
Load/env_small/cold/kelseyhightower-6                                        1.227Ki ± 0%
Load/env_small/warm/kelseyhightower-6                                        1.211Ki ± 0%
Load/env_small/cold/stdlib-6                                                   0.000 ± 0%
Load/env_small/warm/stdlib-6                                                   0.000 ± 0%
Load/env_large/cold/ferry-6                                                  54.15Ki ± 0%
